iter	Passed	Remaining
897	1578	179
898	1579	177
899	1581	175
900	1582	173
901	1583	172
902	1585	170
903	1586	168
904	1587	166
905	1589	164
906	1590	163
907	1591	161
908	1593	159
909	1594	157
910	1595	155
911	1596	154
912	1598	152
913	1599	150
914	1600	148
915	1601	146
916	1603	145
917	1604	143
918	1606	141
919	1607	139
920	1608	138
921	1610	136
922	1612	134
923	1614	132
924	1617	131
925	1619	129
926	1621	127
927	1623	125
928	1624	124
929	1626	122
930	1629	120
931	1631	119
932	1633	117
933	1635	115
934	1636	113
935	1638	112
936	1640	110
937	1642	108
938	1644	106
939	1645	105
940	1647	103
941	1649	101
942	1651	99
943	1653	98
944	1655	96
945	1657	94
946	1659	92
947	1661	91
948	1663	89
949	1665	87
950	1667	85
951	1669	84
952	1671	82
953	1672	80
954	1674	78
955	1676	77
956	1678	75
957	1680	73
958	1682	71
959	1684	70
960	1685	68
961	1687	66
962	1689	64
963	1691	63
964	1693	61
965	1694	59
966	1696	57
967	1698	56
968	1700	54
969	1702	52
970	1704	50
971	1706	49
972	1708	47
973	1710	45
974	1712	43
975	1714	42
976	1716	40
977	1718	38
978	1720	36
979	1722	35
980	1724	33
981	1726	31
982	1727	29
983	1729	28
984	1731	26
985	1733	24
986	1735	22
987	1737	21
988	1739	19
989	1741	17
990	1743	15
991	1745	14
992	1747	12
993	1749	10
994	1751	8
995	1753	7
996	1755	5
997	1757	3
998	1759	1
999	1761	0
